;address;name_location;latitude;longitude
1354;Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1274;-23.5150255;-47.4742725
1356;Av. Washington Luiz, 2009 - Jardim America Sorocaba - ;Bar 2 Zé;-23.5163565;-47.4735164
1358;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
1360;Av. Pereira da Silva, 1919 - Jardim Santa Rosália Sorocaba - ;Santa Esquina Bar n' Food;-23.4831502;-47.4398243
1362;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
1364;R. Ilda do Amaral Cussiol, 12 - Jardim Isaura Sorocaba - ;Hmx veiculos;-23.524073;-47.4636822
1366;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171757;-47.4704552
1368;R. Cel. Benedito Píres, 45 - Centro Sorocaba - ;Lojas Americanas;-23.5000309;-47.4587312
1370;R. Dr. Álvaro Soares, 111 - Centro Sorocaba - ;Magazine Luiza;-23.4979076;-47.4585648
1371;Av. Dr. Afonso Vergueiro, 823 - Centro Sorocaba - ;Pátio Cianê Shopping;-23.4963889;-47.46
1373;Pç Nove de Julho, 141 - Centro Sorocaba - ;Edifício Portal do Aveiro;-23.5032688;-47.4683771
1375;Av. Comendador Pereira Inácio, 1112 - Jardim Vergueiro Sorocaba - ;Biquinha the Municipal Natural Park;-23.5156879;-47.454791
1377;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1381;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1383;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1385;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1389;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1391;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1393;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1395;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
1397;Av. Dr. Afonso Vergueiro, 1700 - Centro Sorocaba - ;Sorocaba Shopping;-23.4965079;-47.4675713
1399;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1401;Av. Abraham Lincoln, 195 - Jardim dos Estados Sorocaba - ;Drogamyl;-23.5175776;-47.4745746
1403;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1405;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1407;Avenida Professora Izoraida Marques Peres, 600 - Parque Campolim Sorocaba - ;Tauste Campolim;-23.5377582;-47.4668379
1409;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
1411;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5145393;-47.4745287
1413;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1415;R. Visc. do Rio Branco, 737 - Vila Jardini Sorocaba - ;ARMAZÉM SOROCABANO LTDA;-23.510554;-47.476473
1417;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704514
1421;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704475
1423;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704475
1425;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704475
1427;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704475
1429;R. Rosa Maria de Oliveira, 333 - Jardim Zulmira Sorocaba - ;Instituto Humberto de Campos;-23.5010494;-47.4827201
1431;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171738;-47.4704475
1433;Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1274;-23.5150255;-47.4742725
1435;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.4704475
1437;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
1439;Jardim America Sorocaba - ;R. João Crespo Lopes, 350-400 - Jardim America, Sorocaba - SP, 18046-785, Brasil;-23.5181325;-47.4707766
1441;R. XV de Novembro, 75 - Centro Sorocaba - ;Lojas Americanas;-23.499844;-47.4561576
1442;R. Dr. Paula Souza - Centro Sorocaba - ;Plaza Doctor Arthur Fajardo;-23.500421;-47.4532707
1444;R. Padre Luiz, 82 - Centro Sorocaba - ;Mercado Municipal;-23.4982069;-47.4600496
1446;R. Cesário Mota, s/n - Centro Sorocaba - ;Banca Fórum Velho;-23.5026083;-47.4612238
1448;R. Cel. Benedito Píres, 45 - Centro Sorocaba - ;Lojas Americanas;-23.5000309;-47.4587312
1450;Centro Sorocaba - ;0053 - Sete de Setembro, 480;-23.5006865;-47.4638429
1452;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.4704475
1454;R. Humberto de Campos, 541 - Jardim Humberto de Campos Sorocaba - ;State School Humberto de Campos;-23.4997244;-47.483716
1456;Av. Gen. Carneiro, 1120 - Vila Lucy Sorocaba - ;Tauste General Carneiro;-23.5040484;-47.4793981
1458;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5145393;-47.4745287
1460;Jardim America Sorocaba - ;R. João Crespo Lopes, 350-400 - Jardim America, Sorocaba - SP, 18046-785, Brasil;-23.5181325;-47.4707766
1462;Pç Nove de Julho, 141 - Centro Sorocaba - ;Edifício Portal do Aveiro;-23.5032688;-47.4683771
1464;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.4704475
1466;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.4704475
1468;Avenida Professora Izoraida Marques Peres, 600 - Parque Campolim Sorocaba - ;Tauste Campolim;-23.5377582;-47.4668379
1470;R. Visc. do Rio Branco, 1225 - Vila Jardini Sorocaba - ;Placas.Autos - Placas Mercosul;-23.5145149;-47.4742662
1472;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.4704475
1474;R. Domingos Fernandes, 161 - Vila Trujillo Sorocaba - ;CAPS III ARTE DO ENCONTRO;-23.4936172;-47.4699586
1476;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171719;-47.4704475
1478;Av. Gen. Carneiro, 1120 - Vila Lucy Sorocaba - ;Tauste General Carneiro;-23.5040484;-47.4793981
1480;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704475
1482;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
1484;R. Martinica, 112 - Jardim America Sorocaba - ;Construtora Verônica;-23.5197453;-47.468969
1486;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5145393;-47.4745287
1488;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704475
